"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @EdKrassen: @IRdotnet @realDonaldTrump I don't remember seeing Barack Obama take credit for catching Osama bin Laden. It was his doing b",FALSE,0,NA,2017-10-21 17:51:17,FALSE,NA,"921796044202975232",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","charms_n",26,TRUE,FALSE,NA,NA
"RT @kylegriffin1: 'I was very comforted': Gold Star families recall receiving condolences from Obama, contrast Trump's description. https:/",FALSE,0,NA,2017-10-21 17:51:15,FALSE,NA,"921796035415908352",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dirtybeardad",303,TRUE,FALSE,NA,NA
"RT @Impeach_D_Trump: Barack Obama Is Back and Reminding Us What a President Looks Like.

RT If You Hope to see more of this incredible man!",FALSE,0,NA,2017-10-21 17:51:10,FALSE,NA,"921796012666212352",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","littleangel762",1549,TRUE,FALSE,NA,NA
"RT @jeandunn52: 'I was very comforted': gold star families recall receiving condolences from Obama https://t.co/YFYRD6SHCU",FALSE,0,NA,2017-10-21 17:51:09,FALSE,NA,"921796007700172802",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","atownsquare",2,TRUE,FALSE,NA,NA
"RT @kylegriffin1: 'I was very comforted': Gold Star families recall receiving condolences from Obama, contrast Trump's description. https:/",FALSE,0,NA,2017-10-21 17:51:05,FALSE,NA,"921795993632497664",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","AMReese",303,TRUE,FALSE,NA,NA
"RT @kylegriffin1: 'I was very comforted': Gold Star families recall receiving condolences from Obama, contrast Trump's description. https:/",FALSE,0,NA,2017-10-21 17:50:55,FALSE,NA,"921795949755797506",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","piafores",303,TRUE,FALSE,NA,NA
"RT @kwilli1046: Russia gave John Podesta 35 millions dollars (1 billion rubles) while he advised Hillary Clinton and Barack Obama. https://",FALSE,0,NA,2017-10-21 17:50:54,FALSE,NA,"921795946572169217",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","dariopolis1",3965,TRUE,FALSE,NA,NA
"RT @GeorgeTakei: They didn't even need to say his name. https://t.co/Ttv43VGv6Z",FALSE,0,NA,2017-10-21 17:50:51,FALSE,NA,"921795933699915776",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SoCalSuzanna",1360,TRUE,FALSE,NA,NA
"Barack And Michelle Obama Are Kinky RT https://t.co/UUV4T9O4Q5 #sex #michelle #fisting #barack #obama",FALSE,0,NA,2017-10-21 17:50:46,FALSE,NA,"921795914234257409",NA,"<a href=""http://www.knowyourvideo.com/"" rel=""nofollow"">KnowYourVideo</a>","KnowYourVideo",0,FALSE,FALSE,NA,NA
"RT @B52Malmet: Barack Obama reportedly said no 3 times to the Niger operation that ended the lives of 4 US soldiers.Not enuf intel.Too dang",FALSE,0,NA,2017-10-21 17:50:36,FALSE,NA,"921795870852608001",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","EliseErosenb827",691,TRUE,FALSE,NA,NA
